week_start,listings_per_week,avg_listings_per_week
2025-09-29 00:00:00,5,4.0000000000000000
2025-10-06 00:00:00,2,4.0000000000000000
2025-10-13 00:00:00,6,4.0000000000000000
2025-10-20 00:00:00,4,4.0000000000000000
2025-10-27 00:00:00,1,4.0000000000000000
2025-11-03 00:00:00,5,4.0000000000000000
2025-11-10 00:00:00,3,4.0000000000000000
2025-11-17 00:00:00,6,4.0000000000000000
2025-11-24 00:00:00,3,4.0000000000000000
2025-12-01 00:00:00,6,4.0000000000000000
2025-12-08 00:00:00,5,4.0000000000000000
2025-12-15 00:00:00,3,4.0000000000000000
2025-12-22 00:00:00,2,4.0000000000000000
2025-12-29 00:00:00,1,4.0000000000000000
2026-01-05 00:00:00,5,4.0000000000000000
2026-01-12 00:00:00,4,4.0000000000000000
2026-01-19 00:00:00,4,4.0000000000000000
2026-01-26 00:00:00,4,4.0000000000000000
2026-02-02 00:00:00,3,4.0000000000000000
2026-02-09 00:00:00,5,4.0000000000000000
2026-02-16 00:00:00,5,4.0000000000000000
2026-02-23 00:00:00,3,4.0000000000000000
2026-03-02 00:00:00,4,4.0000000000000000
2026-03-09 00:00:00,3,4.0000000000000000
2026-03-16 00:00:00,8,4.0000000000000000
